year,month,day,rad,tx,tn,p,rhx,rhn
2013,1,1,5.346,4.9,-4.2,2.2,100,89
2013,1,2,4.979,5.8,-1.3,5.6,100,96
2013,1,3,6.697,9.5,-3.2,0.2,100,78
2013,1,4,7.2,11.2,-3.3,0.2,100,81
2013,1,5,8.405,17.7,-1.8,0,100,59
2013,1,6,7.348,13.5,-1.2,0,100,67
2013,1,7,7.326,11.7,-2.7,0.2,100,77
2013,1,8,4.725,7.1,1.2,0.2,100,96
2013,1,9,2.481,5.2,3.6,0,100,91
2013,1,10,6.378,8.1,-2.3,0,100,86
2013,1,11,6.084,7.4,-1.9,0.2,100,90
2013,1,12,2.847,4,2,0,100,99
2013,1,13,3.213,4.2,1.7,0.8,100,97
2013,1,14,4.495,4.8,0,0,100,94
2013,1,15,3.529,3.5,0.6,3.8,100,95
2013,1,16,6.974,6.3,-4.8,0,100,55
2013,1,17,8.055,9.6,-4.9,0,99,37
2013,1,18,7.914,7.2,-6.5,0,97,46
2013,1,19,4.214,1.4,-2.4,0.4,100,90
2013,1,20,3.014,1.8,-0.1,17.8,100,100
2013,1,21,4.743,4.7,0.1,1.6,100,100
2013,1,22,7.654,9.8,-1.9,0.2,100,83
2013,1,23,6.979,7,-2.5,8.8,100,84
2013,1,24,7.704,10.2,-1.1,0.4,100,72
2013,1,25,8.037,7.7,-4.3,0.2,100,85
2013,1,26,7.429,6.6,-3.4,0.2,100,79
2013,1,27,6.854,2.8,-5.5,0.2,100,97
2013,1,28,4.173,4.2,1.2,9.2,100,98
2013,1,29,7.64,7.5,-2.3,0,100,85
2013,1,30,9.119,10.4,-3.2,0.2,100,77
2013,1,31,8.118,9.2,-1.3,0.2,100,98
2013,2,1,5.141,2.9,-1.2,0.8,100,100
2013,2,2,6.61,9.2,2.6,1.2,100,40
2013,2,3,9.366,11.9,-1,0,80,27
2013,2,4,10.898,12,-5,0,94,39
2013,2,5,9.32,7.7,-4.4,0,100,72
2013,2,6,10.966,11.5,-4.8,0,100,43
2013,2,7,9.929,11.2,-1.8,0,100,29
2013,2,8,10.594,7.9,-6.5,0,86,36
2013,2,9,11.108,9.7,-5.7,0,89,27
2013,2,10,10.388,6.4,-6.7,0,91,41
2013,2,11,4.011,0,-1.9,2.8,100,81
2013,2,12,10.515,6.6,-6.1,2,100,70
2013,2,13,10.536,3.4,-9,0.2,100,89
2013,2,14,12.059,6.8,-9,0.2,100,75
2013,2,15,11.834,8.8,-6,0,100,63
2013,2,16,11.958,9.8,-4.9,0,100,61
2013,2,17,11.314,9.4,-3.4,0.2,100,68
2013,2,18,11.336,9.2,-3.3,0,100,67
2013,2,19,12.032,9.6,-4.1,0.2,100,57
2013,2,20,10.422,6.8,-3.2,0,100,79
2013,2,21,5.977,3.2,0,3.4,100,97
2013,2,22,8.366,2.9,-3.2,0.2,100,79
2013,2,23,10.694,3.8,-5.9,0,100,81
2013,2,24,5.043,1.9,-0.2,9.2,100,97
2013,2,25,7.566,4.5,-0.1,16.6,100,94
2013,2,26,13.281,12,-1.8,0.6,100,48
2013,2,27,12.911,9.9,-2.8,0.6,100,64
2013,2,28,9.851,9.8,2.6,1.2,100,80
2013,3,1,14.551,13.4,-1.9,0.2,100,58
2013,3,2,13.111,12.5,0.4,0,100,62
2013,3,3,15.51,13.8,-2.7,0.2,100,63
2013,3,4,16.135,14.8,-2.6,0.2,100,57
2013,3,5,14.18,10.9,-2.2,0,100,60
2013,3,6,6.873,7.6,4.6,19.8,100,76
2013,3,7,7.41,9.2,5.8,17.2,100,99
2013,3,8,6.561,9.8,7.2,20.6,100,100
2013,3,9,12.291,10.6,1.7,2.2,100,98
2013,3,10,11.574,11.4,3.7,0.6,100,94
2013,3,11,14.564,13.9,2,0.2,100,84
2013,3,12,12.82,12.7,3.7,9.6,100,83
2013,3,13,14.147,13.5,2.8,7.4,100,71
2013,3,14,14.646,11.4,0.2,0,100,31
2013,3,15,16.088,10.3,-2.9,0,76,23
2013,3,16,17.234,10.1,-4.7,0,88,36
2013,3,17,9.824,4.9,0.2,29.4,100,73
2013,3,18,12.212,6.7,-0.4,20.4,100,88
2013,3,19,19.828,15.8,-2.5,0.2,100,32
2013,3,20,13.745,8.8,0.2,0,100,82
2013,3,21,20.546,16.6,-2.2,0.2,100,31
2013,3,22,19.341,15.5,-0.8,0,100,53
2013,3,23,15.081,11.8,2.1,1.6,100,78
2013,3,24,8.334,7.9,5,57.6,100,98
2013,3,25,10.835,9.1,4.3,3.6,100,88
2013,3,26,9.611,6.5,2.8,0,97,77
2013,3,27,10.345,7.9,3.7,0,97,73
2013,3,28,8.532,6.4,3.6,8.8,99,88
2013,3,29,13.029,9.7,3.3,0,100,79
2013,3,30,10.659,8.4,4.2,32.2,100,91
2013,3,31,21.525,16.9,0.1,0,100,38
2013,4,1,10.335,8.2,4.4,0,95,79
2013,4,2,17.177,14.4,4.1,0,97,59
2013,4,3,19.7,16.5,3.2,0,100,53
2013,4,4,11.172,11.1,6.9,11.6,100,79
2013,4,5,12.664,10.7,5.4,10.6,100,90
2013,4,6,16.925,14.2,4.9,0,100,73
2013,4,7,17.165,15.2,5.8,0,100,63
2013,4,8,11.294,8.9,4.9,3,100,80
2013,4,9,15.492,11.9,4.5,0,100,72
2013,4,10,23.678,17.5,0.5,0.2,100,53
2013,4,11,16.067,13.7,6,4.6,100,81
2013,4,12,17.705,18.5,9.3,11.6,100,69
2013,4,13,23.535,21.6,5.6,0.2,100,42
2013,4,14,23.941,22.8,6.5,0,99,45
2013,4,15,23.827,23.9,8,0,100,48
2013,4,16,19.786,23.7,12.9,0,94,50
2013,4,17,22.286,25.3,11.8,0,96,44
2013,4,18,24.592,26.6,10.4,0,100,43
2013,4,19,22.943,24.6,10.7,4.4,100,49
2013,4,20,10.183,11.4,8.7,21.8,100,82
2013,4,21,16.975,16.3,8.9,19.2,100,76
2013,4,22,13.907,15.2,10.3,1.4,99,75
2013,4,23,19.595,20.5,10.9,0,100,55
2013,4,24,21.867,21.7,9.9,0.4,100,44
2013,4,25,24.479,23.4,8.8,0,100,37
2013,4,26,14.124,17.9,13.1,2.6,96,72
2013,4,27,14.062,18,13.3,1,100,85
2013,4,28,17.387,19.2,12.1,23.4,100,70
2013,4,29,11.742,15.3,12.1,25,100,97
2013,4,30,15.761,18.7,13,8.8,100,87
2013,5,1,20.783,23.8,14,5.8,100,57
2013,5,2,23.029,24.6,12.7,0.2,97,54
2013,5,3,21.645,22.1,11.7,0,100,62
2013,5,4,24.699,24,10.6,0,95,44
2013,5,5,23.978,23.5,11,7.4,98,52
2013,5,6,18.667,21,13.5,2.2,99,69
2013,5,7,23.925,23.1,10.9,13,100,53
2013,5,8,24.334,23.7,11.2,0.2,100,53
2013,5,9,21.536,24.9,15.2,0,97,50
2013,5,10,17.015,20.5,14.5,6,100,74
2013,5,11,23.558,23.7,12.3,0.4,100,48
2013,5,12,23.556,23.1,11.8,0,100,34
2013,5,13,24.978,22.2,9.6,0,76,41
2013,5,14,24.065,23.1,11.5,4.8,91,52
2013,5,15,15.379,17.3,12.6,1,95,74
2013,5,16,11.483,13.2,10.6,51.6,100,94
2013,5,17,19.18,19,11.8,6,100,58
2013,5,18,18.707,16.9,10.1,17.2,100,69
2013,5,19,21.717,19.1,10,33.2,100,57
2013,5,20,20.559,19.2,11.1,0.6,98,59
2013,5,21,19.848,18.5,11,2,94,62
2013,5,22,24.331,20,8.8,0.2,100,54
2013,5,23,25.577,23.1,10.8,0.2,82,40
2013,5,24,15.687,15,10.4,5.6,85,53
2013,5,25,16.887,12.5,7.2,6.6,96,59
2013,5,26,28.77,20.7,5.4,0.2,100,33
2013,5,27,25.758,20.5,8.3,0,98,52
2013,5,28,18.556,19.2,12.9,0,92,64
2013,5,29,21.35,18.6,10.3,3,100,41
2013,5,30,25.079,20.8,9.4,2.8,100,36
2013,5,31,15.966,13.5,8.9,0,99,84
2013,6,1,24.287,20.9,10.3,0,99.5,56.5
2013,6,2,30.453,28.3,11.7,0,100,29
2013,6,3,26.048,24.2,12.1,0,95,38
2013,6,4,25.216,25,13.7,0,93,39
2013,6,5,24.348,25.2,14.7,0,92,43
2013,6,6,24.845,25.7,14.8,0,86,46
2013,6,7,23.471,26.6,16.9,0.4,94,49
2013,6,8,24.914,26.4,15.5,0,95,49
2013,6,9,20.132,21.4,14.3,26.6,99,56
2013,6,10,22.438,22.2,13.4,0,99,58
2013,6,11,28.532,27.7,13.5,0.2,100,36
2013,6,12,25.811,28.1,16.5,0,92,35
2013,6,13,26.923,29.1,16.5,0,91,39
2013,6,14,25.4,29.4,18.2,0,97,44
2013,6,15,24.958,29.3,18.5,0,96,57
2013,6,16,25.541,29.2,17.9,0,98,56
2013,6,17,26.44,31.6,19.5,0,100,46
2013,6,18,26.773,33.1,20.7,0,98,43
2013,6,19,24.641,33.2,22.7,0,92,43
2013,6,20,21.103,27.4,19.7,1.2,95,65
2013,6,21,22.814,26.7,17.7,0,97,46
2013,6,22,25.103,28.5,17.6,0,94,42
2013,6,23,23.182,25.9,16.6,1.8,99,58
2013,6,24,25.317,26.3,15.2,0,99,31
2013,6,25,29.319,26.4,11.5,0,94,27
2013,6,26,25.966,25.8,14.1,0,86,32
2013,6,27,22.758,21.9,12.9,0,94,59
2013,6,28,25.706,22.2,10.7,0,100,46
2013,6,29,24.424,22.2,11.8,0.2,100,50
2013,6,30,31.012,28.8,12,0,100,34
2013,7,1,28.681,29,14.6,0.2,99,41
2013,7,2,27.218,28.6,15.6,0,98,43
2013,7,3,22.365,24.8,16,0,100,67
2013,7,4,29.061,29.5,14.6,0,99,43
2013,7,5,28.626,31.8,17.3,0,100,40
2013,7,6,26.641,31.9,19.3,0,97,45
2013,7,7,24.509,30.8,20.1,0,96,46
2013,7,8,24.805,31.1,20.1,0,92,45
2013,7,9,24.072,29.5,19.1,0,93,49
2013,7,10,25.912,31.1,19,0,100,47
2013,7,11,27.514,32.1,18.4,0,98,48
2013,7,12,25.477,30.7,18.9,0,95,50
2013,7,13,23.164,30.3,20.5,0,97,58
2013,7,14,25.992,30.1,17.7,1.2,96,50
2013,7,15,27.349,31.9,18.1,0.2,100,47
2013,7,16,26.372,32,19.1,0,99,53
2013,7,17,23.952,29.1,18.4,3.6,95,54
2013,7,18,16.966,23.1,17.7,34.2,99,75
2013,7,19,27.236,30.3,16.3,0,100,47
2013,7,20,27.728,32.1,17.5,0,100,42
2013,7,21,27.257,32.1,17.9,0.2,100,50
2013,7,22,26.391,32.9,19.5,0,100,44
2013,7,23,27.919,33.8,18.7,0,99,50
2013,7,24,25.006,31.9,19.7,0.6,98,50
2013,7,25,27.068,33.3,18.9,0,100,52
2013,7,26,26.779,34.3,20.1,0,100,50
2013,7,27,25.621,33.8,20.7,0,100,51
2013,7,28,24.526,33,20.9,0,100,48
2013,7,29,20.107,25.2,17,17.6,99,69
2013,7,30,28.317,30.9,14.5,0.4,100,37
2013,7,31,27.761,31.6,15.7,0,100,46
2013,8,1,27.811,33.2,17.1,0.2,100,39
2013,8,2,27.339,33.5,17.8,0.2,100,42
2013,8,3,25.696,34,20,0,100,49
2013,8,4,27.082,34.2,18.5,0,100,48
2013,8,5,25.899,33.6,19.1,0,100,52
2013,8,6,24.773,33.6,20.2,0,100,48
2013,8,7,20.86,30.1,20.5,0.2,100,62
2013,8,8,19.295,24.7,16.4,80.8,100,84
2013,8,9,25.103,29.8,15.6,1.6,100,49
2013,8,10,25.053,29.9,15.6,0,99,41
2013,8,11,25,30.1,15.7,0.2,100,50
2013,8,12,25.115,31.2,16.5,0,100,48
2013,8,13,24.712,31.4,17,0,100,57
2013,8,14,16.631,23.8,17.2,25.6,98,74
2013,8,15,21.819,27.7,16.2,0,100,50
2013,8,16,23.754,28.4,14.6,0,100,45
2013,8,17,24.278,30.1,15.5,0,100,52
2013,8,18,24.205,31.1,16.4,0.2,100,51
2013,8,19,21.36,28.1,16.5,0,100,71
2013,8,20,24.447,30.1,14.7,0,100,34
2013,8,21,23.722,28.2,13.5,0,100,42
2013,8,22,23.876,28.9,13.8,0,100,48
2013,8,23,22.582,29.2,15.5,0,99,49
2013,8,24,20.719,28.8,17.1,19,100,61
2013,8,25,19.852,26.2,15.3,0.8,100,60
2013,8,26,20.239,25.1,13.6,11.2,100,59
2013,8,27,18.824,24.7,14.6,0,100,58
2013,8,28,23.215,28,12.4,0,100,46
2013,8,29,20.369,27.3,15.1,0.2,100,62
2013,8,30,20.454,27.9,15.4,0,100,48
2013,8,31,21.085,27.8,14.3,0,100,54
2013,9,1,20.6,28.9,15.8,0,100,49
2013,9,2,19.875,27.6,15.2,0,99,41
2013,9,3,23.075,29.7,12.7,0,100,52
2013,9,4,21.127,29.5,15,0,100,53
2013,9,5,20.943,29.9,15.4,0,100,56
2013,9,6,20.177,29.5,15.8,0,100,56
2013,9,7,20.572,29.6,15.1,0,98,55
2013,9,8,16.928,27,17,0,97,63
2013,9,9,20.196,28.7,14.2,0,99,39
2013,9,10,19.376,26.3,12.7,4,100,57
2013,9,11,19.333,24.3,10.5,0,100,44
2013,9,12,20.095,24.3,9.1,0,100,48
2013,9,13,20.606,25.3,9,0,100,32
2013,9,14,20.34,24.7,8.5,0,100,51
2013,9,15,11.518,17.2,11.9,24.4,100,93
2013,9,16,16.647,20.9,9.6,0.2,100,77
2013,9,17,19.172,23.5,8.2,0.4,100,29
2013,9,18,18.214,21,6.9,0,100,56
2013,9,19,20.078,25.2,7.7,0,100,98
2013,9,20,16.989,23.9,11.1,0.2,98,60
2013,9,21,19.311,26,9.1,0.2,100,53
2013,9,22,17.134,25.1,11.5,0,100,56
2013,9,23,18.149,25.8,10.2,0.2,100,58
2013,9,24,18.625,26.4,9.6,0,100,54
2013,9,25,16.871,25.1,11,0.2,100,60
2013,9,26,16.738,25.1,10.9,0,100,64
2013,9,27,15.524,25,12.5,0,100,63
2013,9,28,12.503,25.2,16.9,0,100,71
2013,9,29,8.578,18.8,14.8,53,100,93
2013,9,30,7.699,17.1,13.8,0.4,100,94
2013,10,1,9.641,18.7,13.4,0,100,76
2013,10,2,10.467,20.1,13.7,0,100,77
2013,10,3,8.276,16.9,12.8,0,94,73
2013,10,4,8.936,16.4,11.5,0.4,100,71
2013,10,5,9.435,15.8,10.2,5,100,83
2013,10,6,10.711,16.4,9,5.8,100,90
2013,10,7,7.377,16.5,12.9,13.6,100,96
2013,10,8,11.388,18.1,9.3,0.2,100,78
2013,10,9,13.074,20.1,8.2,0,100,73
2013,10,10,12.065,17.3,6.9,7.4,100,88
2013,10,11,14.111,17.8,3.2,4,100,43
2013,10,12,9.848,14,6.7,1.8,96,68
2013,10,13,9.029,13,6.7,0,100,86
2013,10,14,12.298,17.2,5.2,0.2,100,63
2013,10,15,12.034,16.7,4.9,0,100,74
2013,10,16,14.747,22.9,4.7,0,100,43
2013,10,17,14.021,22.5,5.6,0,100,48
2013,10,18,13.119,20.1,4.9,0.2,100,64
2013,10,19,10.91,17.6,6.8,0,100,84
2013,10,20,8.22,15.1,8.8,2,100,94
2013,10,21,7.979,15,8.9,0,100,92
2013,10,22,5.139,15.1,12.5,2.4,100,98
2013,10,23,5.165,15.9,13.2,14,100,98
2013,10,24,5.883,17.5,13.9,0.2,100,98
2013,10,25,8.651,19.1,11.1,1.4,100,87
2013,10,26,10.096,20.7,9.5,0,100,77
2013,10,27,5.646,17.9,14.3,0,100,99
2013,10,28,8.506,21.5,13.1,0,100,69
2013,10,29,7.091,19.2,13.2,0,100,88
2013,10,30,6.994,19.2,13.2,0.2,100,65
2013,10,31,8.589,16,6.7,0.6,100,76
2013,11,1,9.503,16.7,5,0.2,100,73
2013,11,2,6.543,16.5,10.8,0,100,74
2013,11,3,9.287,18,6.2,0.2,100,71
2013,11,4,7.157,12.1,4.9,0.2,100,92
2013,11,5,10.021,17.5,3,0,100,59
2013,11,6,9.887,21.1,6.6,0.2,100,46
2013,11,7,8.42,15.8,5,0,100,81
2013,11,8,4.155,13.6,10.9,0.2,100,98
2013,11,9,8.087,17.2,6.7,0.2,100,76
2013,11,10,6.791,13.2,5.6,0,100,49
2013,11,11,9.323,17.9,3.2,0,72,19
2013,11,12,10.129,17.6,-0.2,0,95,29
2013,11,13,9.513,16.9,0.8,0,100,41
2013,11,14,5.83,12.7,6.5,6.8,100,80
2013,11,15,3.507,7.9,5.6,7.8,100,90
2013,11,16,7.68,15.3,4,0,100,71
2013,11,17,6.582,12.5,4,1,100,74
2013,11,18,3.309,9.4,7.2,1.4,100,100
2013,11,19,3.271,10.6,8.4,2,100,100
2013,11,20,4.727,10.4,5.7,1.4,100,85
2013,11,21,4.918,6.5,1.3,17.4,100,94
2013,11,22,3.633,5.2,2.3,11.8,100,96
2013,11,23,4.766,6.2,1.1,0,100,89
2013,11,24,6.864,12.3,1.5,0.2,100,74
2013,11,25,7.846,13.4,-1,0,100,32
2013,11,26,7.268,9.4,-3.2,0,88,31
2013,11,27,7.084,7.2,-5,0,92,34
2013,11,28,6.754,6.5,-4.8,0,99,55
2013,11,29,7.013,7.2,-5.2,0,100,56
2013,11,30,3.899,1.9,-2,2.6,100,99
2013,12,1,6.553,7.8,-3.4,0.2,100,78
2013,12,2,7.423,11.4,-3.2,0,100,51
2013,12,3,6.978,9.2,-3.9,0.2,100,60
2013,12,4,7.289,9.3,-5.2,0.2,100,70
2013,12,5,7.088,9.3,-4.6,0,100,67
2013,12,6,7.696,13,-3.6,0.2,100,68
2013,12,7,7.391,12.9,-2.6,0.2,100,71
2013,12,8,4.216,1.5,-3.6,0.2,100,100
2013,12,9,5.252,4.1,-3.9,0.2,100,100
2013,12,10,5.666,4.4,-5,0,100,96
2013,12,11,5.58,3.8,-5.4,0.2,100,99
2013,12,12,4.097,-0.3,-5.3,0.2,100,100
2013,12,13,6.633,8,-5.2,0.2,100,85
2013,12,14,7.211,11.5,-4.2,0.2,100,60
2013,12,15,5.624,6.4,-3.2,0,100,89
2013,12,16,6.428,8,-4.6,0.2,100,74
2013,12,17,6.542,8.6,-4.5,0,100,73
2013,12,18,5.505,6,-3.3,0,100,81
2013,12,19,3.276,2.5,-0.8,19.8,100,100
2013,12,20,3.224,4.2,1,12,100,100
2013,12,21,3.908,5.1,0.4,0,100,100
2013,12,22,3.017,6.7,3.9,0.2,100,99
2013,12,23,2.91,7.3,4.7,0.2,100,98
2013,12,24,2.619,6.7,4.6,3.2,100,100
2013,12,25,3.136,7.5,4.5,29.4,100,100
2013,12,26,3.537,8.7,4.9,78.6,100,77
2013,12,27,6.354,12.4,0.2,0,100,65
2013,12,28,4.28,6.3,0.8,9,100,92
2013,12,29,5.962,10,-0.6,0.4,100,80
2013,12,30,6.153,9.8,-1.4,0,100,75
2013,12,31,5.984,8,-2.5,0.2,100,72
2014,1,1,5.926,6.8,-3.4,0.2,100,65
2014,1,2,3.325,2.6,-0.6,3.2,100,99
2014,1,3,3.445,4.9,1.5,0,100,95
2014,1,4,2.723,4.8,2.7,14.4,100,100
2014,1,5,5.609,9.6,0.8,13.2,100,92
2014,1,6,6.37,9.9,-1.3,0.2,100,71
2014,1,7,5.75,8.3,-0.7,0,100,84
